latitude,longitude,dbscan_cluster,hdbscan_cluster
51.500673,-0.382918,0,126
54.93621,-1.6434,0,-1
51.492514,-3.187376,0,28
51.600371,-0.062866,0,132
52.724513,-1.035788,0,-1
54.427581,-6.436102,1,0
51.562738,0.110199,0,-1
53.630102,-2.971166,0,-1
51.60291,-0.316749,0,-1
53.798197,-1.756188,0,120
51.592847,-0.097692,0,-1
51.477518,-3.177367,0,28
51.798235,-0.395194,0,-1
51.608033,-0.364896,0,-1
51.54114,-0.256819,0,130
50.964293,-1.383233,0,63
51.655825,-3.888729,0,24
52.368365,-1.714,0,-1
52.526233,-1.933643,0,83
52.964773,-1.152599,0,100
51.44146,-0.095082,0,-1
54.85383,-1.828652,0,-1
51.586352,-3.426428,0,29
54.579428,-3.573749,0,4
52.582374,-1.9839,0,83
53.574342,-2.88228,0,-1
53.25324,-0.534561,0,33
52.991336,-1.167752,0,100
54.997118,-1.665448,0,16
50.717063,-3.535276,0,17
52.490858,-1.742775,0,83
52.663279,-1.067935,0,90
54.64655,-2.705861,0,-1
51.736985,-1.60684,0,23
50.725098,-3.520862,0,17
53.690372,-1.625671,0,119
52.560136,-1.958595,0,83
51.665824,-3.867353,0,24
52.379731,-1.465711,0,86
51.509057,-0.596122,0,122
52.463943,1.721718,0,9
52.52912,-1.211524,0,-1
52.97113,-1.23086,0,100
51.269092,0.510566,0,104
54.753139,-6.620028,1,0
51.375281,1.410192,0,50
51.4766,-0.202529,0,-1
51.577074,0.019635,0,-1
51.274772,0.522536,0,104
51.380869,0.495639,0,105
51.55868,0.079052,0,134
53.735939,-0.414668,0,32
53.068226,-2.535327,0,-1
52.087905,-1.773751,0,-1
53.711409,-2.097608,0,-1
53.727826,-1.897262,0,114
51.539425,-0.142748,0,-1
51.513791,-0.304443,0,127
52.246119,0.712078,0,-1
51.600142,0.282039,0,-1
51.441149,0.213838,0,-1
51.542672,-0.009549,0,135
51.535717,-0.454361,0,-1
50.876724,-2.970701,0,-1
52.41526,-1.980975,0,83
51.91889,0.88776,0,58
52.887715,-1.451018,0,94
51.536435,0.077893,0,134
51.524181,-0.102731,0,-1
51.544266,0.002505,0,135
51.097047,0.556767,0,-1
50.386232,-4.115001,0,8
